Time,Position,PnL
12:24:22,5.16,-9.95043
12:24:22,5.17,-9.99593
12:24:22,5.18,-10.0413
12:24:22,5.19,-10.0867
12:24:22,5.2,-10.1319
12:24:22,5.21,-10.1771
12:24:23,5.22,-10.2221
12:24:23,5.23,-10.2671
12:24:23,5.24,-10.312
12:24:23,5.25,-10.3568
12:24:23,5.26,-10.4015
12:24:23,5.27,-10.4461
12:24:24,5.28,-10.4907
12:24:24,5.29,-10.5352
12:24:24,5.3,-10.5795
12:24:24,5.31,-10.6238
12:24:24,5.32,-10.6681
12:24:24,5.33,-10.7122
12:24:24,5.34,-10.7562
12:24:24,5.35,-10.8002
12:24:25,5.36,-10.8441
12:24:25,5.37,-10.8879
12:24:25,5.38,-10.9316
12:24:25,5.39,-10.9753
12:24:25,5.4,-11.0188
12:24:25,5.41,-11.0623
12:24:25,5.42,-11.1057
12:24:25,5.43,-11.149
12:24:25,5.44,-11.1922
12:24:25,5.45,-11.2354
12:24:25,5.46,-11.2785
12:24:25,5.47,-11.3215
12:24:25,5.48,-11.3644
12:24:26,5.49,-11.4072
12:24:26,5.5,-11.45
12:24:26,5.51,-11.4927
12:24:29,5.52,-11.5353
12:24:29,5.53,-11.5778
12:24:29,5.54,-11.6203
12:24:29,5.55,-11.6627
12:24:29,5.56,-11.705
12:24:29,5.57,-11.7472
12:24:29,5.58,-11.7894
12:24:29,5.59,-11.8314
12:24:29,5.6,-11.8734
12:24:29,5.61,-11.9154
12:24:29,5.62,-11.9572
12:24:29,5.63,-11.999
12:24:30,5.64,-12.0407
12:24:30,5.65,-12.0823
12:24:30,5.66,-12.1239
12:24:30,5.67,-12.1654
12:24:30,5.68,-12.2068
12:24:30,5.69,-12.2481
12:24:30,5.7,-12.2894
12:24:30,5.71,-12.3305
12:24:30,5.72,-12.3717
12:24:30,5.73,-12.4127
12:24:30,5.74,-12.4537
12:24:30,5.75,-12.4946
12:24:31,5.76,-12.5354
12:24:31,5.77,-12.5762
12:24:31,5.78,-12.6169
12:24:31,5.79,-12.6575
12:24:31,5.8,-12.698
12:24:31,5.81,-12.7385
12:24:31,5.82,-12.7789
12:24:31,5.83,-12.8193
12:24:31,5.84,-12.8595
12:24:31,5.85,-12.8997
12:24:31,5.86,-12.9399
12:24:31,5.87,-12.9799
12:24:31,5.88,-13.0199
12:24:32,5.89,-13.0599
12:24:32,5.9,-13.0997
12:24:32,5.91,-13.1395
12:24:32,5.92,-13.1792
12:24:32,5.93,-13.2189
12:24:32,5.94,-13.2585
12:24:32,5.95,-13.298
12:24:33,5.96,-13.3375
12:24:33,5.97,-13.3769
12:24:33,5.98,-13.4162
12:24:33,5.99,-13.4555
12:24:33,6,-13.4947
12:24:33,6.01,-13.5338
12:24:33,6.02,-13.5729
12:24:33,6.03,-13.6119
12:24:33,6.04,-13.6508
12:24:33,6.05,-13.6897
12:24:33,6.06,-13.7285
12:24:34,6.07,-13.7672
12:24:34,6.08,-13.8059
12:24:34,6.09,-13.8445
12:24:34,6.1,-13.8831
12:24:34,6.11,-13.9215
12:24:34,6.12,-13.96
12:24:35,6.13,-13.9983
12:24:35,6.14,-14.0366
12:24:35,6.15,-14.0749
12:24:35,6.16,-14.113
12:24:35,6.17,-14.1512
12:24:35,6.18,-14.1892
12:24:35,6.19,-14.2272
12:24:36,6.2,-14.2651
12:24:36,6.21,-14.303
12:24:36,6.22,-14.3408
12:24:36,6.23,-14.3786
12:24:36,6.24,-14.4162
12:24:36,6.25,-14.4539
12:24:36,6.26,-14.4914
12:24:36,6.27,-14.5289
12:24:36,6.28,-14.5664
12:24:36,6.29,-14.6038
12:24:36,6.3,-14.6411
12:24:36,6.31,-14.6784
12:24:36,6.32,-14.7156
12:24:36,6.33,-14.7527
12:24:36,6.34,-14.7898
12:24:36,6.35,-14.8268
12:24:36,6.36,-14.8638
12:24:36,6.37,-14.9007
12:24:36,6.38,-14.9376
12:24:36,6.39,-14.9744
12:24:36,6.4,-15.0111
12:24:36,6.41,-15.0478
12:24:36,6.42,-15.0844
12:24:36,6.43,-15.121
12:24:36,6.44,-15.1575
12:24:36,6.45,-15.194
12:24:36,6.46,-15.2304
12:24:36,6.47,-15.2667
12:24:37,6.48,-15.303
12:24:37,6.49,-15.3392
12:24:37,6.5,-15.3754
12:24:37,6.51,-15.4115
12:24:37,6.52,-15.4476
12:24:37,6.53,-15.4836
12:24:37,6.54,-15.5196
12:24:37,6.55,-15.5555
12:24:37,6.56,-15.5913
12:24:37,6.57,-15.6271
12:24:37,6.58,-15.6628
12:24:37,6.59,-15.6985
12:24:37,6.6,-15.7341
12:24:37,6.61,-15.7697
12:24:37,6.62,-15.8052
12:24:37,6.63,-15.8407
12:24:37,6.64,-15.8761
12:24:37,6.65,-15.9115
12:24:37,6.66,-15.9468
12:24:37,6.67,-15.982
12:24:37,6.68,-16.0172
12:24:38,6.69,-16.0524
12:24:38,6.7,-16.0875
12:24:38,6.71,-16.1225
12:24:38,6.72,-16.1575
12:24:38,6.73,-16.1924
12:24:38,6.74,-16.2273
12:24:38,6.75,-16.2622
12:24:38,6.76,-16.2969
12:24:38,6.77,-16.3317
12:24:38,6.78,-16.3664
12:24:39,6.79,-16.401
12:24:39,6.8,-16.4356
12:24:39,6.81,-16.4701
12:24:39,6.82,-16.5046
12:24:39,6.83,-16.539
12:24:39,6.84,-16.5734
12:24:39,6.85,-16.6077
12:24:39,6.86,-16.642
12:24:39,6.87,-16.6762
12:24:39,6.88,-16.7104
12:24:39,6.89,-16.7445
12:24:40,6.9,-16.7786
12:24:40,6.91,-16.8126
12:24:40,6.92,-16.8466
12:24:40,6.93,-16.8805
12:24:40,6.94,-16.9144
12:24:40,6.95,-16.9482
12:24:40,6.96,-16.982
12:24:40,6.97,-17.0157
12:24:40,6.98,-17.0494
12:24:40,6.99,-17.083
12:24:40,7,-17.1166
12:24:40,7.01,-17.1502
12:24:40,7.02,-17.1837
12:24:40,7.03,-17.2171
12:24:40,7.04,-17.2505
12:24:40,7.05,-17.2839
12:24:40,7.06,-17.3172
12:24:41,7.07,-17.3504
12:24:41,7.08,-17.3836
12:24:41,7.09,-17.4168
12:24:41,7.1,-17.4499
12:24:41,7.11,-17.483
12:24:41,7.12,-17.516
12:24:41,7.13,-17.549
12:24:41,7.14,-17.5819
12:24:41,7.15,-17.6148
12:24:41,7.16,-17.6476
12:24:41,7.17,-17.6804
12:24:41,7.18,-17.7131
12:24:41,7.19,-17.7458
12:24:42,7.2,-17.7785
12:24:42,7.21,-17.8111
12:24:45,7.22,-17.8437
12:24:45,7.23,-17.8762
12:24:45,7.24,-17.9087
12:24:45,7.25,-17.9411
12:24:45,7.26,-17.9735
12:24:45,7.27,-18.0058
12:24:45,7.28,-18.0381
12:24:45,7.29,-18.0704
12:24:45,7.3,-18.1026
12:24:46,7.31,-18.1347
12:24:46,7.32,-18.1668
12:24:46,7.33,-18.1989
12:24:46,7.34,-18.2309
12:24:46,7.35,-18.2629
12:24:46,7.36,-18.2949
12:24:46,7.37,-18.3268
12:24:46,7.38,-18.3586
12:24:46,7.39,-18.3904
12:24:47,7.4,-18.4222
12:24:47,7.41,-18.4539
12:24:54,7.42,-18.4856
12:24:54,7.43,-18.5173
12:24:54,7.44,-18.5489
12:24:54,7.45,-18.5804
12:24:54,7.46,-18.6119
12:24:54,7.47,-18.6434
12:24:54,7.48,-18.6748
12:24:54,7.49,-18.7062
12:24:54,7.5,-18.7376
12:24:54,7.51,-18.7689
12:24:54,7.52,-18.8001
12:24:55,7.53,-18.8314
12:24:55,7.54,-18.8625
12:24:55,7.55,-18.8937
12:24:55,7.56,-18.9248
12:24:55,7.57,-18.9558
12:24:55,7.58,-18.9868
12:24:55,7.59,-19.0178
12:24:55,7.6,-19.0487
12:24:55,7.61,-19.0796
12:24:55,7.62,-19.1105
12:24:55,7.63,-19.1413
