Time,BestBid_USD,BestAsk_USD,MidPrice_USD,Spread_USD,Imbalance
16:08:39,91487.3,91487.3,91487.3,0.01,0.129948
16:08:40,91487.3,91487.3,91487.3,0.01,0.212125
16:08:42,91487.3,91487.3,91487.3,0.01,0.149569
16:08:42,91487.3,91487.3,91487.3,0.01,0.0513662
16:08:44,91487.3,91487.3,91487.3,0.01,0.0889866
16:08:45,91487.3,91487.3,91487.3,0.01,0.211116
16:08:45,91487.3,91487.3,91487.3,0.01,0.175138
16:08:46,91487.3,91487.3,91487.3,0.01,0.159092
16:08:47,91487.3,91487.3,91487.3,0.01,0.17515
16:08:47,91487.3,91487.3,91487.3,0.01,0.180413
16:08:48,91487.3,91487.3,91487.3,0.01,0.18045
16:08:49,91487.3,91487.3,91487.3,0.01,0.395591
16:08:50,91487.3,91487.3,91487.3,0.01,0.379283
